"Freq [GHz]","dB(ActiveS(1:1)) []"
14,-0.385645742791872
14.07,-0.387781727143109
14.14,-0.390025376492543
14.21,-0.392377856817903
14.28,-0.394840418397043
14.35,-0.397414426270264
14.42,-0.400101347243439
14.49,-0.402902752383089
14.56,-0.405820325322386
14.63,-0.408855850491387
14.7,-0.412011230117707
14.77,-0.415288474233166
14.84,-0.418689705550805
14.91,-0.422217162031112
14.98,-0.425873201248887
15.05,-0.429660301201512
15.12,-0.433581056396067
15.19,-0.43763819343884
15.26,-0.441834562813064
15.33,-0.446173143600276
15.4,-0.450657049898804
15.47,-0.4552895308368
15.54,-0.460073975865121
15.61,-0.465013917829024
15.68,-0.470113033075325
15.75,-0.475375149255373
15.82,-0.480804249500353
15.89,-0.486404471842419
15.96,-0.492180117733542
16.03,-0.498135653597794
16.1,-0.504275719623136
16.17,-0.510605120191054
16.24,-0.517128853797137
16.31,-0.523852086852268
16.38,-0.530780208109886
16.45,-0.537918759847255
16.52,-0.545273485685642
16.59,-0.552850372412651
16.66,-0.560655585755373
16.73,-0.568695511215428
16.8,-0.576976770293875
16.87,-0.58550618760194
16.94,-0.594290845023568
17.01,-0.60333804363419
17.08,-0.612655343636998
17.15,-0.622250550092969
17.22,-0.632131727572208
17.29,-0.642307203867422
17.36,-0.652785580337084
17.43,-0.663575729702607
17.5,-0.674686813369751
17.57,-0.686128281098803
17.64,-0.697909879592879
17.71,-0.710041655441683
17.78,-0.722533980665913
17.85,-0.735397524744225
17.92,-0.748643291153296
17.99,-0.762282607543107
18.06,-0.776327164898628
18.13,-0.790788962982568
18.2,-0.805680370609604
18.27,-0.82101411648854
18.34,-0.836803291336489
18.41,-0.85306135831278
18.48,-0.869802159196602
18.55,-0.887039925679932
18.62,-0.904789269714968
18.69,-0.923065229839177
18.76,-0.941883219666675
18.83,-0.961259087968689
18.9,-0.981209094373214
18.97,-1.00174993560892
19.04,-1.02289874157524
19.11,-1.04467308409851
19.18,-1.06709099326984
19.25,-1.09017095501988
19.32,-1.11393193128237
19.39,-1.13839335533978
19.46,-1.16357516323551
19.53,-1.18949778137006
19.6,-1.21618215716922
19.67,-1.24364975576487
19.74,-1.27192259770077
19.81,-1.30102324092893
19.88,-1.33097482383862
19.95,-1.36180108087808
20.02,-1.39352634639408
20.09,-1.42617560359999
20.16,-1.45977445952326
20.23,-1.4943492613738
20.3,-1.5299270254256
20.37,-1.56653551517771
20.44,-1.60420330743004
20.51,-1.64295979286255
20.58,-1.68283516930467
20.65,-1.72386065375159
20.72,-1.76606823396616
20.79,-1.80949123980245
20.86,-1.8541637105171
20.93,-1.90012102029791
21,-1.94739969581385
21.07,-1.99603754513112
21.14,-2.04607369885005
21.21,-2.09754871995639
21.28,-2.15050466764057
21.35,-2.20498518639459
21.42,-2.26103556261805
21.49,-2.31870286409615
21.56,-2.37803596294636
21.63,-2.43908565337276
21.7,-2.50190468354879
21.77,-2.56654788285021
21.84,-2.63307220322802
21.91,-2.70153667998851
21.98,-2.77200259763059
22.05,-2.84453329514363
22.12,-2.91919440584033
22.19,-2.99605354871161
22.26,-3.0751803420083
22.33,-3.15664616435633
22.4,-3.24052404724567
22.47,-3.32688822006663
22.54,-3.4158139076321
22.61,-3.50737654190792
22.68,-3.60165139008731
22.75,-3.69871262768016
22.82,-3.79863241421257
22.89,-3.90147970896187
22.96,-4.00731883280587
23.03,-4.11620782455326
23.1,-4.22819635906306
23.17,-4.34332353912989
23.24,-4.46161479559773
23.31,-4.58307886154932
23.38,-4.7077040103977
23.45,-4.83545355571722
23.52,-4.96626088931478
23.59,-5.1000238447778
23.66,-5.23659827010642
23.73,-5.37579090405909
23.8,-5.51735152010049
23.87,-5.66096458073864
23.94,-5.80623986875775
24.01,-5.95270346594987
24.08,-6.09978822170482
24.15,-6.24682474482687
24.22,-6.39303364064028
24.29,-6.53751896562709
24.36,-6.67926500577503
24.43,-6.81713652748193
24.5,-6.94988406548054
24.57,-7.0761556170993
24.64,-7.19451578297853
24.71,-7.30347291521853
24.78,-7.40151550404967
24.85,-7.4871562579255
24.92,-7.55898312414441
24.99,-7.61571477491732
25.06,-7.65625685199609
25.13,-7.67975468175101
25.2,-7.68563794316742
25.27,-7.67365292850826
25.34,-7.64387902832652
25.41,-7.59672769655687
25.48,-7.53292383279081
25.55,-7.4534716312355
25.62,-7.35960823549823
25.69,-7.2527494142662
25.76,-7.13443223325593
25.83,-7.00625861709536
25.9,-6.86984369117775
25.97,-6.72677113322157
26.04,-6.57855682145952
26.11,-6.42662156341732
26.18,-6.27227206156052
26.25,-6.11668959260654
26.32,-5.96092503091961
26.39,-5.80589902347853
26.46,-5.6524062112001
26.53,-5.50112125467463
26.6,-5.35260911563499
26.67,-5.20733303856233
26.74,-5.0656655978845
26.81,-4.92789850816093
26.88,-4.794252464786
26.95,-4.66488631251327
27.02,-4.53990559675219
27.09,-4.41937034734821
27.16,-4.30330209747283
27.23,-4.19169016265021
27.3,-4.08449715815117
27.37,-3.98166387741528
27.44,-3.88311357120539
27.51,-3.78875554592306
27.58,-3.69848839335341
27.65,-3.61220267836057
27.72,-3.52978318421613
27.79,-3.45111094856077
27.86,-3.3760648881755
27.93,-3.30452310814247
28,-3.23636405297381
28.07,-3.17146746082487
28.14,-3.1097151028242
28.21,-3.05099136826842
28.28,-2.9951837656883
28.35,-2.94218327287
28.42,-2.89188464044738
28.49,-2.84418654479027
28.56,-2.79899173554878
28.63,-2.75620717046024
28.7,-2.7157439800891
28.77,-2.67751750051788
28.84,-2.64144724236011
28.91,-2.60745682261131
28.98,-2.57547391900777
29.05,-2.54543016184847
29.12,-2.51726104140255
29.19,-2.49090580742575
29.26,-2.46630735417924
29.33,-2.44341211992735
29.4,-2.42216992769827
29.47,-2.4025339484768
29.54,-2.38446051809664
29.61,-2.36790905593719
29.68,-2.35284196239184
29.75,-2.33922448486933
29.82,-2.32702464898287
29.89,-2.31621315478696
29.96,-2.30676328058053
30.03,-2.29865080101533
30.1,-2.29185390284564
30.17,-2.28635312250172
30.24,-2.28213126105821
30.31,-2.27917333067033
30.38,-2.27746649849728
30.45,-2.27700001265381
30.52,-2.27776519577163
30.59,-2.27975536973913
30.66,-2.2829658233443
30.73,-2.28739379060581
30.8,-2.29303842188318
30.87,-2.29990077395557
30.94,-2.30798376289176
31.01,-2.31729219163921
31.08,-2.32783272269512
31.15,-2.33961388494102
31.22,-2.35264607769229
31.29,-2.36694158101887
31.36,-2.38251457745724
31.43,-2.39938115826409
31.5,-2.41755936023082
31.57,-2.43706919614145
31.64,-2.45793269705689
31.71,-2.48017392862213
31.78,-2.50381906571384
31.85,-2.52889642310021
31.92,-2.55543655307348
31.99,-2.58347224023138
32.06,-2.61303862142524
32.13,-2.64417325894672
32.2,-2.67691619838236
32.27,-2.71131006611545
32.34,-2.74740015872543
32.41,-2.78523454131008
32.48,-2.82486415308629
32.55,-2.86634291706384
32.62,-2.9097278361172
32.69,-2.95507916062496
32.76,-3.00246047183439
32.83,-3.05193884302803
32.9,-3.10358494069949
32.97,-3.15747325030343
33.04,-3.21368214730308
33.11,-3.27229407473468
33.18,-3.33339575688305
33.25,-3.39707830107897
33.32,-3.46343740231571
33.39,-3.53257347969391
33.46,-3.60459209828269
33.53,-3.67960363335304
33.6,-3.75772397222725
33.67,-3.83907447966152
33.74,-3.92378216917542
33.81,-4.01197990977895
33.88,-4.10380662504548
33.95,-4.19940746921627
34.02,-4.29893385253357
34.09,-4.40254378424934
34.16,-4.51040186045007
34.23,-4.62267931156848
34.3,-4.73955417384171
34.37,-4.86121123596227
34.44,-4.98784199828334
34.51,-5.11964446275526
34.58,-5.25682317399027
34.65,-5.39958863961284
34.72,-5.54815702608766
34.79,-5.70274948855387
34.86,-5.86359139296524
34.93,-6.03091123544521
35,-6.20493919749874
35.07,-6.38590549930286
35.14,-6.57403804127251
35.21,-6.76955960959664
35.28,-6.97268430323584
35.35,-7.18361305562953
35.42,-7.40252818095336
35.49,-7.62958613299087
35.56,-7.86490924423464
35.63,-8.10857478109576
35.7,-8.36060191435218
35.77,-8.62093545608962
35.84,-8.8894260365624
35.91,-9.16580606637599
35.98,-9.44966059042087
36.05,-9.74039268957819
36.12,-10.037182690185
36.19,-10.3389411813608
36.26,-10.6442562458678
36.33,-10.9513366756934
36.4,-11.25795362677
36.47,-11.5613873238265
36.54,-11.8583858560004
36.61,-12.1451485858263
36.68,-12.4173491960543
36.75,-12.6702135723463
36.82,-12.898670526535
36.89,-13.0975812618187
36.96,-13.2620454060772
37.03,-13.3877591559619
37.1,-13.4713829464101
37.17,-13.5108596339396
37.24,-13.5056236600403
37.31,-13.4566578453848
37.38,-13.366385545434
37.45,-13.238421446189
37.52,-13.0772313084193
37.59,-12.8877619744481
37.66,-12.6750963275404
37.73,-12.44417054453
37.8,-12.1995702175073
37.87,-11.9454047914625
37.94,-11.6852487889232
38.01,-11.4221336515465
38.08,-11.1585736580815
38.15,-10.8966122854669
38.22,-10.6378779079757
38.29,-10.3836422301279
38.36,-10.1348759129321
38.43,-9.89229965162968
38.5,-9.65642910006277
38.57,-9.42761355282393
38.64,-9.20606861468005
38.71,-8.99190349083377
38.78,-8.78514336364377
38.85,-8.58574792125071
38.92,-8.39362620275954
38.99,-8.20864877184444
39.06,-8.03065744850486
39.13,-7.85947310119127
39.2,-7.69490193037116
39.27,-7.53674034831146
39.34,-7.38477903515007
39.41,-7.23880591579084
39.48,-7.09860864723277
39.55,-6.96397647394401
39.62,-6.83470167286063
39.69,-6.7105806167294
39.76,-6.59141469642988
39.83,-6.47701074988904
39.9,-6.36718158270358
39.97,-6.26174619388426
40.04,-6.16052992933787
40.11,-6.06336456789643
40.18,-5.97008826564439
40.25,-5.8805455392287
40.32,-5.79458713699382
40.39,-5.71206991487605
40.46,-5.63285664652568
40.53,-5.55681588167071
40.6,-5.48382172973736
40.67,-5.41375361410114
40.74,-5.34649617517818
40.81,-5.28193895269989
40.88,-5.21997617405534
40.95,-5.16050663835439
41.02,-5.1034333960803
41.09,-5.04866359049954
41.16,-4.99610823848947
41.23,-4.94568201547228
41.3,-4.89730308053669
41.37,-4.8508928768068
41.44,-4.80637587051324
41.51,-4.76367947687837
41.58,-4.72273378438079
41.65,-4.68347140454801
41.72,-4.64582731529515
41.79,-4.60973865336125
41.86,-4.57514459190595
41.93,-4.54198613450252
42,-4.51020598775129
